,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-153300000.0,379800000.0,123700000.0,251000000.0
Minority Interest,144200000.0,153800000.0,155000000.0,435200000.0
Net Income,-150300000.0,261800000.0,71400000.0,181500000.0
Selling General Administrative,2400000.0,2400000.0,81800000.0,70200000.0
Gross Profit,1352900000.0,1451100000.0,1361800000.0,879700000.0
Ebit,203100000.0,408500000.0,203100000.0,250700000.0
Operating Income,203100000.0,408500000.0,203100000.0,250700000.0
Other Operating Expenses,630100000.0,682600000.0,706700000.0,338600000.0
Interest Expense,-118000000.0,-91200000.0,-88200000.0,-41200000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2400000.0,103500000.0,52600000.0,69500000.0
Total Revenue,12742700000.0,12789400000.0,12030900000.0,7267600000.0
Total Operating Expenses,12539600000.0,12380900000.0,11827800000.0,7016900000.0
Cost Of Revenue,11389800000.0,11338300000.0,10669100000.0,6387900000.0
Total Other Income Expense Net,-356400000.0,-28700000.0,-79400000.0,300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-155700000.0,276300000.0,71100000.0,181500000.0
Net Income Applicable To Common Shares,-157700000.0,253500000.0,63400000.0,172900000.0
