Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-06-27,1.346444302593227,1.346444302593227,1.3198947215896624,1.3274803161621094,76808,0.0,0
2016-06-28,1.3426515053070034,1.3426515053070034,1.3274803161621094,1.3274803161621094,5110,0.0,0
2016-06-29,1.3578225374221802,1.3578225374221802,1.3578225374221802,1.3578225374221802,11104,0.0,0
2016-06-30,1.3654081311173671,1.3881650026303374,1.3578225374221802,1.3578225374221802,220418,0.0,0
2016-07-01,1.3692009971050703,1.3692009971050703,1.3464442148703677,1.3502370119094849,191723,0.0,0
2016-07-04,1.3502370998794504,1.3502370998794504,1.3274803161621094,1.3274803161621094,97949,0.0,0
2016-07-05,1.3350661011676075,1.3350661011676075,1.3198949098587036,1.3198949098587036,82724,0.0,0
2016-07-06,1.3654083403136434,1.3654083403136434,1.3198947711693196,1.3350659608840942,88629,0.0,0
2016-07-07,1.3426515053070034,1.3654082890243444,1.3274803161621094,1.3274803161621094,232135,0.0,0
2016-07-08,1.3502371463468577,1.361615538597107,1.3502371463468577,1.361615538597107,84284,0.0,0
2016-07-11,1.365408200065953,1.3805794786498358,1.3426514178312505,1.3502370119094849,122290,0.0,0
2016-07-12,1.361615538597107,1.365408336013857,1.3502371463468577,1.361615538597107,57378,0.0,0
2016-07-13,1.365408200065953,1.365408200065953,1.3502370119094849,1.3502370119094849,69990,0.0,0
2016-07-14,1.3502368588473752,1.3729936385023818,1.3502368588473752,1.354029655456543,65197,0.0,0
2016-07-15,1.3616154030268361,1.38816507272807,1.3502370119094849,1.3502370119094849,196700,0.0,0
2016-07-18,1.380579794305834,1.380579794305834,1.3426517248153687,1.3426517248153687,128125,0.0,0
2016-07-19,1.3502373206279747,1.365408512253187,1.3426517248153687,1.3426517248153687,77548,0.0,0
2016-07-20,1.34644419841669,1.3654081833805336,1.3350658074383837,1.3388586044311523,63553,0.0,0
2016-07-21,1.342651551513358,1.3767868186915295,1.342651551513358,1.361615538597107,201239,0.0,0
2016-07-22,1.3616152486748785,1.3616152486748785,1.3502368588473752,1.354029655456543,104085,0.0,0
2016-07-25,1.3540299437636074,1.361615538597107,1.3502371463468577,1.361615538597107,44271,0.0,0
2016-07-26,1.3616154030268361,1.365408200065953,1.3502370119094849,1.3502370119094849,53681,0.0,0
2016-07-27,1.357822880993584,1.361615678800873,1.3464444875717163,1.3464444875717163,40735,0.0,0
2016-07-28,1.361615538597107,1.3707183247392452,1.3502371463468577,1.361615538597107,172563,0.0,0
2016-07-29,1.3616154030268361,1.365408200065953,1.3502370119094849,1.3502370119094849,93457,0.0,0
2016-08-01,1.361615538597107,1.3729939308473564,1.3540299437636074,1.361615538597107,85581,0.0,0
2016-08-02,1.361615538597107,1.365408336013857,1.361615538597107,1.361615538597107,125741,0.0,0
2016-08-03,1.3578227411803572,1.365408336013857,1.3540299437636074,1.361615538597107,81137,0.0,0
2016-08-04,1.3616152486748785,1.3654080452840462,1.354029655456543,1.354029655456543,153217,0.0,0
2016-08-05,1.3578224520657107,1.3654080452840462,1.354029655456543,1.354029655456543,50492,0.0,0
2016-08-08,1.3616152486748785,1.3654080452840462,1.354029655456543,1.354029655456543,86222,0.0,0
2016-08-09,1.3616152486748785,1.3654080452840462,1.354029655456543,1.354029655456543,87269,0.0,0
2016-08-10,1.3616153342697737,1.3654081311173671,1.3578225374221802,1.3578225374221802,44646,0.0,0
2016-08-11,1.3616153342697737,1.3692009279649604,1.3578225374221802,1.3578225374221802,373351,0.0,0
2016-08-12,1.3578224520657107,1.369200841893214,1.354029655456543,1.354029655456543,139415,0.0,0
2016-08-15,1.3616154030268361,1.3805794786498358,1.3502370119094849,1.3502370119094849,109713,0.0,0
2016-08-16,1.3578227411803572,1.361615538597107,1.3578227411803572,1.361615538597107,59383,0.0,0
2016-08-17,1.3654083013534546,1.4033363649855854,1.3578227067125126,1.3654083013534546,119750,0.0,0
2016-08-18,1.3805798557224889,1.4033366441726685,1.3616157749199,1.4033366441726685,151270,0.0,0
2016-08-19,1.3843723881446388,1.3881651854918533,1.3692011083283588,1.3805795907974243,52619,0.0,0
2016-08-22,1.4109222403227284,1.448850221073028,1.4033366441726685,1.4033366441726685,167476,0.0,0
2016-08-23,1.4147150383977585,1.4223006345478184,1.4033366441726685,1.4033366441726685,106016,0.0,0
2016-08-24,1.4033363826514018,1.4640211405428643,1.3995435852831852,1.4450571537017822,357502,0.0,0
2016-08-25,1.4564353398543892,1.4640209335181562,1.4260929651993217,1.4412641525268555,375817,0.0,0
2016-08-26,1.441264516978472,1.441264516978472,1.4147149324417114,1.4147149324417114,419628,0.0,0
2016-08-29,1.4260931015014648,1.4374714930846313,1.4185075071126874,1.4260931015014648,91505,0.0,0
2016-08-30,1.4488497983141542,1.4488497983141542,1.4223002195358276,1.4223002195358276,154014,0.0,0
2016-08-31,1.4223002195358276,1.4336786104408246,1.4223002195358276,1.4223002195358276,154914,0.0,0
2016-09-01,1.4260933337455504,1.494363784790039,1.4223005359334917,1.494363784790039,206821,0.0,0
2016-09-02,1.4867778508253822,1.4981562416722198,1.4716066630295985,1.4791922569274902,337715,0.0,0
2016-09-05,1.5019493804141564,1.505742178226215,1.482985391353863,1.494363784790039,213194,0.0,0
2016-09-06,1.5202819560930811,1.5202819560930811,1.497071474849226,1.500939965248108,475272,0.0385,0
2016-09-07,1.5125448847165697,1.5280184745788574,1.5086764872509977,1.5280184745788574,282135,0.0,0
2016-09-08,1.5318870354085976,1.5396238311648123,1.500939852383739,1.5086766481399536,247037,0.0,0
2016-09-09,1.50867666688631,1.5705710337051082,1.50867666688631,1.5318870544433594,172381,0.0,0
2016-09-12,1.5628341231893337,1.5628341231893337,1.5086765561963666,1.539623737335205,85070,0.0,0
2016-09-13,1.5783076500182287,1.6015180349349976,1.5705708550459723,1.6015180349349976,90406,0.0,0
2016-09-14,1.6634128213766493,1.7175703940681428,1.6479392291790798,1.6788864135742188,271577,0.0,0
2016-09-15,1.6788866665031394,1.740781044617977,1.6788866665031394,1.7020970582962036,306971,0.0,0
2016-09-16,1.7175703878990602,1.7175703878990602,1.655676019331091,1.6711496114730835,143641,0.0,0
2016-09-19,1.7020966876250392,1.7020966876250392,1.6711495053070897,1.6866230964660645,77736,0.0,0
2016-09-20,1.6943603533276632,1.6943603533276632,1.6556763648986816,1.6556763648986816,105981,0.0,0
2016-09-21,1.6711499602702742,1.675018266883269,1.6247289896956891,1.6556763648986816,168750,0.0,0
2016-09-22,1.6711498878949391,1.748517861402196,1.6711498878949391,1.7330442667007446,206406,0.0,0
2016-09-23,1.7562542162660593,1.779464602470398,1.7407806254631668,1.779464602470398,163378,0.0,0
2016-09-26,1.787201642990112,1.818148828840365,1.7794648465275489,1.7872016429901123,177190,0.0,0
2016-09-27,1.8104121735381309,1.8413595462611712,1.7949385794065071,1.8181489706039429,102852,0.0,0
2016-09-28,1.84135915014172,1.8568327409446124,1.779464602470398,1.779464602470398,277701,0.0,0
2016-09-29,1.841359419892708,1.8490962164275606,1.7949384562238129,1.810412049293518,115044,0.0,0
2016-09-30,1.8181489706039429,1.8336225647355668,1.8026753764723191,1.8181489706039429,112376,0.0,0
2016-10-03,1.8181487382095982,1.825885534286499,1.8104119421326974,1.825885534286499,85350,0.0,0
2016-10-04,1.8181489706039429,1.8490963433269831,1.8026753764723191,1.8181489706039429,156542,0.0,0
2016-10-05,1.8104117126800507,1.887779848103144,1.802674917583716,1.8336220979690552,178292,0.0,0
2016-10-06,1.8413591638876348,1.8413591638876348,1.7949382066726685,1.7949382066726685,85936,0.0,0
2016-10-07,1.7949385435408713,1.7949385435408713,1.7407809651623394,1.763991355895996,114285,0.0,0
2016-10-10,1.7485175319002901,1.7949383072568144,1.702096756543766,1.7717279195785522,122162,0.0,0
2016-10-11,1.7794649852748832,1.8413595462611712,1.7794649852748832,1.8181489706039429,74179,0.0,0
2016-10-12,1.8181489706039429,1.8258857676697549,1.783333476037685,1.8181489706039429,65930,0.0,0
2016-10-13,1.8181489706039429,1.8258857676697549,1.8026753764723191,1.8181489706039429,87840,0.0,0
2016-10-14,1.8181488458283706,1.8181488458283706,1.7639912700844027,1.810412049293518,63900,0.0,0
2016-10-17,1.7794650508050986,1.8104122402080014,1.7330442667007444,1.7330442667007446,41041,0.0,0
2016-10-18,1.7407809651623394,1.7949385435408713,1.7330441682511206,1.763991355895996,66537,0.0,0
2016-10-19,1.7639913558959959,1.7639913558959959,1.7562545589847771,1.763991355895996,50936,0.0,0
2016-10-20,1.7639911236857984,1.7872015113640605,1.7562543277930442,1.7717279195785522,17330,0.0,0
2016-10-21,1.7717278202950622,1.8181485930502745,1.7717278202950622,1.7949382066726685,36224,0.0,0
2016-10-24,1.7872017823406952,1.8258857676697549,1.7872017823406952,1.8181489706039429,77677,0.0,0
2016-10-25,1.8258853885094768,1.856832754806039,1.7949382066726685,1.7949382066726685,157982,0.0,0
2016-10-26,1.7949384562238129,1.8181488458283706,1.7872016596889604,1.810412049293518,42071,0.0,0
2016-10-27,1.7949384164015976,1.7949384164015976,1.7562544345855713,1.7562544345855713,68692,0.0,0
2016-10-28,1.7407810640514703,1.7562546587529215,1.7098338746485675,1.7330442667007446,147729,0.0,0
2016-10-31,1.7330440224413133,1.7485176149618789,1.7253072261810303,1.7253072261810303,32851,0.0,0
2016-11-01,1.7330438300617208,1.779464602470398,1.7330438300617208,1.779464602470398,70604,0.0,0
2016-11-02,1.748517638222366,1.7562544345855713,1.7020968600431345,1.7562544345855713,66053,0.0,0
2016-11-03,1.7253074693500188,1.7407810640514703,1.7020970772978419,1.7330442667007446,31213,0.0,0
2016-11-04,1.7175706528249128,1.7253074500892676,1.7020970582962036,1.7020970582962036,98329,0.0,0
2016-11-07,1.7098334109544642,1.7794645682275434,1.7098334109544642,1.7407805919647217,22147,0.0,0
2016-11-08,1.7562542293766579,1.8181485930502745,1.7562542293766579,1.7949382066726685,40997,0.0,0
2016-11-09,1.8026747994212962,1.8258851831888974,1.7020964697616907,1.7098332643508911,164834,0.0,0
2016-11-10,1.779464863154108,1.8181488458283706,1.740780880479845,1.810412049293518,58154,0.0,0
2016-11-11,1.810412032377802,1.8258856253029285,1.7717280500649857,1.7872016429901123,104506,0.0,0
2016-11-14,1.8026749539852365,1.810411749237801,1.7407805919647217,1.7407805919647217,146004,0.0,0
