Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-06-27,4.336534368680035,4.356472439154108,3.987617897703223,4.1271843910217285,25256954,0.0,0
2016-06-28,3.867989136390681,4.137153301918014,3.8281127612513677,4.0972771644592285,18269609,0.0,0
2016-06-29,4.2667511603010455,4.306627299385638,4.117215401053287,4.177029609680176,8209501,0.0,0
2016-06-30,4.32656544953157,4.32656544953157,4.127184275033075,4.1570916175842285,10007737,0.0,0
2016-07-01,4.137153379675666,4.137153379675666,4.0474318310265565,4.077339172363281,4898078,0.0,0
2016-07-04,4.047432023758379,4.097277436572785,3.9776487785709707,4.027493953704834,2394179,0.0,0
2016-07-05,3.967679688673479,3.967679688673479,3.8480510323260595,3.858020067214966,3443261,0.0,0
2016-07-06,3.6387012837148074,3.678577423095703,3.5788868369629254,3.678577423095703,8595764,0.0,0
2016-07-07,3.628732172739129,3.698515415191651,3.6087938657864465,3.6985154151916504,5729630,0.0,0
2016-07-08,3.698515391223356,3.942756857064637,3.698515391223356,3.828112840652466,6605109,0.0,0
2016-07-11,3.9477415918123033,4.0374631428774705,3.9178344873507602,3.9876177310943604,4011984,0.0,0
2016-07-12,4.147122501712919,4.172045208887473,4.077339492057487,4.117215633392334,5101034,0.0,0
2016-07-13,4.186998444937666,4.2069365146617095,4.087308096317451,4.167060375213623,5045180,0.0,0
2016-07-14,4.077339492057487,4.157091774727181,4.03746335072264,4.117215633392334,3210016,0.0,0
2016-07-15,4.067370179599512,4.186998602443945,4.067370179599512,4.1271843910217285,2153998,0.0,0
2016-07-18,4.0873081352055936,4.1570916175842285,4.067370065291852,4.1570916175842285,1741053,0.0,0
2016-07-19,4.167060145624865,4.256781692120291,4.1570913489926244,4.226874351501465,3127149,0.0,0
2016-07-20,4.2368438693271075,4.306627351246013,4.186998457190592,4.286689281463623,4808243,0.0,0
2016-07-21,4.3764102006409535,4.426255610987452,4.306627196589131,4.326565265655518,2445181,0.0,0
2016-07-22,4.366441441971345,4.3764102389111805,4.306627234249129,4.316596031188965,1717576,0.0,0
2016-07-25,4.286689127522744,4.351487495467705,4.24681298938997,4.326565265655518,3739784,0.0,0
2016-07-26,4.386379757173884,4.441209331820161,4.346503616456393,4.376410484313965,2835177,0.0,0
