,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-470100000.0,-249700000.0,-249700000.0,-249700000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-1204700000.0,-1123800000.0,-882900000.0,-716800000.0
Net Borrowings,1268100000.0,457600000.0,36700000.0,512300000.0
Total Cash From Financing Activities,1032800000.0,219100000.0,-249600000.0,159800000.0
Change To Operating Activities,63900000.0,2700000.0,18700000.0,54500000.0
Net Income,302100000.0,290700000.0,253900000.0,291400000.0
Change In Cash,672600000.0,-184100000.0,-318800000.0,329400000.0
Repurchase Of Stock,-600000.0,-600000.0,-3100000.0,-10300000.0
Total Cash From Operating Activities,844500000.0,720600000.0,813700000.0,886400000.0
Depreciation,408600000.0,418400000.0,404000000.0,390600000.0
Other Cashflows From Investing Activities,8800000.0,8800000.0,8800000.0,8800000.0
Dividends Paid,-234700000.0,-238500000.0,-342500000.0,-306200000.0
Change To Netincome,14600000.0,-37300000.0,84700000.0,98100000.0
Capital Expenditures,-745200000.0,-900300000.0,-893100000.0,-732700000.0
Issuance Of Stock,,,59300000.0,59300000.0
